index,name,team,minutes
Lewis Miley2024-11-10T14:00:00Z,Lewis Miley,Newcastle,0
Toby Collyer2024-11-10T14:00:00Z,Toby Collyer,Man Utd,0
Christian Eriksen2024-11-10T14:00:00Z,Christian Eriksen,Man Utd,1
Mason Mount2024-11-10T14:00:00Z,Mason Mount,Man Utd,0
Alejandro Garnacho2024-11-10T14:00:00Z,Alejandro Garnacho,Man Utd,1
Amad Diallo2024-11-10T14:00:00Z,Amad Diallo,Man Utd,1
Marcus Rashford2024-11-10T14:00:00Z,Marcus Rashford,Man Utd,1
Carlos Henrique Casimiro2024-11-10T14:00:00Z,Carlos Henrique Casimiro,Man Utd,1
Kobbie Mainoo2024-11-10T14:00:00Z,Kobbie Mainoo,Man Utd,0
Bruno Borges Fernandes2024-11-10T14:00:00Z,Bruno Borges Fernandes,Man Utd,1
Antony Matheus dos Santos2024-11-10T14:00:00Z,Antony Matheus dos Santos,Man Utd,0
Hannibal Mejbri2024-11-10T14:00:00Z,Hannibal Mejbri,Man Utd,0
Facundo Pellistri Rebollo2024-11-10T14:00:00Z,Facundo Pellistri Rebollo,Man Utd,0
Ryan Fraser2024-11-09T15:00:00Z,Ryan Fraser,Southampton,0
Scott McTominay2024-11-10T14:00:00Z,Scott McTominay,Man Utd,0
Cheick Doucouré2024-11-09T15:00:00Z,Cheick Doucouré,Crystal Palace,0
Daichi Kamada2024-11-09T15:00:00Z,Daichi Kamada,Crystal Palace,1
Naouirou Ahamada2024-11-09T15:00:00Z,Naouirou Ahamada,Crystal Palace,0
Will Hughes2024-11-09T15:00:00Z,Will Hughes,Crystal Palace,1
Matheus França de Oliveira2024-11-09T15:00:00Z,Matheus França de Oliveira,Crystal Palace,0
Adam Wharton2024-11-09T15:00:00Z,Adam Wharton,Crystal Palace,1
Eberechi Eze2024-11-09T15:00:00Z,Eberechi Eze,Crystal Palace,1
Malcolm Ebiowei2024-11-09T15:00:00Z,Malcolm Ebiowei,Crystal Palace,0
David Ozoh2024-11-09T15:00:00Z,David Ozoh,Crystal Palace,0
Jesurun Rak-Sakyi2024-11-09T15:00:00Z,Jesurun Rak-Sakyi,Crystal Palace,0
Jeffrey Schlupp2024-11-09T15:00:00Z,Jeffrey Schlupp,Crystal Palace,1
